"Udledning af drivhusgasser efter enhed, kilde, drivhusgas, type,"
"branche, område og tid"

" ";" ";" ";" ";" ";" ";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011"
" ";" ";" ";" ";" ";"Gribskov";0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";" ";" ";" ";"Odsherred";0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";" ";" ";" ";"Holbæk";0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";" ";" ";" ";"Faxe";0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";" ";" ";" ";"Kalundborg";0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";" ";" ";" ";"Ringsted";0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";" ";" ";" ";"Slagelse";0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";" ";" ";" ";"Stevns";0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";" ";" ";" ";"Sorø";0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";" ";" ";" ";"Lejre";0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";" ";" ";" ";"Lolland";0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";" ";" ";" ";"Næstved";0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";" ";" ";" ";"Guldborgsund";0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";" ";" ";" ";"Vordingborg";0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";" ";" ";" ";"Bornholm";0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";" ";" ";" ";"Middelfart";0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";" ";" ";" ";"Assens";0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";" ";" ";" ";"Faaborg-Midtfyn";0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";" ";" ";" ";"Kerteminde";0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";" ";" ";" ";"Nyborg";0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";" ";" ";" ";"Odense";0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";" ";" ";" ";"Svendborg";0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";" ";" ";" ";"Nordfyns";0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";" ";" ";" ";"Langeland";0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";" ";" ";" ";"Ærø";0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";" ";" ";" ";"Haderslev";0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";" ";" ";" ";"Billund";0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";" ";" ";" ";"Sønderborg";0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";" ";" ";" ";"Tønder";0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";" ";" ";" ";"Esbjerg";0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";" ";" ";" ";"Fanø";0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";" ";" ";" ";"Varde";0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";" ";" ";" ";"Vejen";0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";" ";" ";" ";"Aabenraa";0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";" ";" ";" ";"Fredericia";0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";" ";" ";" ";"Horsens";0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";" ";" ";" ";"Kolding";0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";" ";" ";" ";"Vejle";0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";" ";" ";" ";"Herning";0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";" ";" ";" ";"Holstebro";0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";" ";" ";" ";"Lemvig";0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";" ";" ";" ";"Struer";0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";" ";" ";" ";"Syddjurs";0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";" ";" ";" ";"Norddjurs";0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";" ";" ";" ";"Favrskov";0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";" ";" ";" ";"Odder";0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";" ";" ";" ";"Randers";0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";" ";" ";" ";"Silkeborg";0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";" ";" ";" ";"Samsø";0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";" ";" ";" ";"Skanderborg";0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";" ";" ";" ";"Aarhus";0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";" ";" ";" ";"Ikast-Brande";0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";" ";" ";" ";"Ringkøbing-Skjern";0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";" ";" ";" ";"Hedensted";0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";" ";" ";" ";"Morsø";0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";" ";" ";" ";"Skive";0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";" ";" ";" ";"Thisted";0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";" ";" ";" ";"Viborg";0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";" ";" ";" ";"Brønderslev";0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";" ";" ";" ";"Frederikshavn";0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";" ";" ";" ";"Vesthimmerlands";0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";" ";" ";" ";"Læsø";0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";" ";" ";" ";"Rebild";0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";" ";" ";" ";"Mariagerfjord";0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";" ";" ";" ";"Jammerbugt";0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";" ";" ";" ";"Aalborg";0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";" ";" ";" ";"Hjørring";0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";" ";" ";"Husholdninger"
" ";" ";" ";" ";" ";"København";367137;352414;352923;350298;342691;320896;322605;323219;320987;299976;292400;282018
" ";" ";" ";" ";" ";"Frederiksberg";74415;71684;71966;70879;69046;67762;61496;62449;61692;58314;56569;54647
" ";" ";" ";" ";" ";"Ballerup";82325;82475;82773;86035;87254;83199;81279;77197;76039;75593;76597;66265
" ";" ";" ";" ";" ";"Brøndby";41323;40205;40784;41244;40788;39371;39359;37628;37536;36024;35828;32945
" ";" ";" ";" ";" ";"Dragør";35104;35726;35783;37142;37079;36074;35109;32909;32289;32088;33103;28114
" ";" ";" ";" ";" ";"Gentofte";168616;170526;166732;168606;164402;157242;152208;142354;137389;137959;140312;120294
" ";" ";" ";" ";" ";"Gladsaxe";125311;126329;124655;127951;125344;122109;118495;111313;107761;108393;111258;95510
" ";" ";" ";" ";" ";"Glostrup";37088;37062;37090;38268;37238;36399;35236;33592;33031;32681;33904;29284
" ";" ";" ";" ";" ";"Herlev";48653;48704;48609;49378;48514;47031;46805;43678;42539;41974;42512;36567
" ";" ";" ";" ";" ";"Albertslund";29602;28272;29245;29259;28961;26674;26688;26928;26773;25094;24193;22985
" ";" ";" ";" ";" ";"Hvidovre";83166;82615;82912;85439;80107;81774;78101;73684;70276;69686;70635;61674
" ";" ";" ";" ";" ";"Høje-Taastrup";72591;70180;72006;71968;71286;67387;65864;64753;60979;60988;59404;55228
" ";" ";" ";" ";" ";"Lyngby-Taarbæk";112316;112952;111886;108382;108098;104960;99698;92931;90767;89555;92407;79300
" ";" ";" ";" ";" ";"Rødovre";65446;65795;65632;66613;65271;63436;61269;58040;56093;55559;55456;48208
" ";" ";" ";" ";" ";"Ishøj";27937;27420;27890;28672;28446;27422;27688;26710;26003;25242;25022;22637
" ";" ";" ";" ";" ";"Tårnby";74566;74619;74359;75511;72571;67454;70152;66057;64608;64283;64834;55417
" ";" ";" ";" ";" ";"Vallensbæk";18659;18636;18671;19396;19117;18835;18717;17636;17592;18358;18952;16886
" ";" ";" ";" ";" ";"Furesø";67738;67258;67456;68841;69285;67469;65243;61315;60373;60003;61218;53188
" ";" ";" ";" ";" ";"Allerød";56791;57431;56991;59092;58132;56463;55761;52779;50140;50387;51343;44343
" ";" ";" ";" ";" ";"Fredensborg";86663;86496;87431;89847;88288;80255;80838;77356;74416;72758;72891;64471
" ";" ";" ";" ";" ";"Helsingør";126760;126517;128244;131091;131932;131564;125250;116733;113692;111485;108806;96188
" ";" ";" ";" ";" ";"Hillerød";77685;77653;79300;79464;78870;74880;73955;71667;69952;68702;66226;60821
" ";" ";" ";" ";" ";"Hørsholm";62973;63177;60946;62779;60627;59829;56751;52270;51729;51095;51303;44350
" ";" ";" ";" ";" ";"Rudersdal";146490;146763;145810;150057;147597;146924;137078;127058;120557;119909;122530;104366
" ";" ";" ";" ";" ";"Egedal";91161;91677;91692;94572;93637;92450;91732;87269;85544;85088;84711;73391
" ";" ";" ";" ";" ";"Frederikssund";94384;93549;94715;97268;95733;94608;92030;87122;84378;84422;82548;73047
" ";" ";" ";" ";" ";"Greve";105394;106058;106979;110316;108737;105276;102873;97876;94271;94202;94043;81363
" ";" ";" ";" ";" ";"Køge";135379;137688;137986;142077;140608;136651;136956;128840;125799;124815;124036;107189
" ";" ";" ";" ";" ";"Halsnæs";49871;49340;51073;51064;51462;50200;48091;45652;44184;43340;42317;40043
" ";" ";" ";" ";" ";"Roskilde";145399;144829;148446;152479;151210;148426;141855;135303;132517;129677;130252;117467
" ";" ";" ";" ";" ";"Solrød";44106;44652;44736;45881;45280;44110;43118;40736;39159;36983;37416;32819
" ";" ";" ";" ";" ";"Gribskov";82957;83589;85850;85765;84856;82586;80532;78935;76838;74287;72293;66563
" ";" ";" ";" ";" ";"Odsherred";74805;75340;76750;76751;75582;75801;72741;69716;68052;65307;65150;60608
" ";" ";" ";" ";" ";"Holbæk";176878;177984;180792;185364;180975;175099;169747;162083;159748;157887;154662;134169
" ";" ";" ";" ";" ";"Faxe";79958;81700;83591;84680;83751;82698;80525;75947;73718;72053;71255;62732
" ";" ";" ";" ";" ";"Kalundborg";96436;95795;97841;97344;96322;94760;87646;86304;82648;75649;75285;68785
" ";" ";" ";" ";" ";"Ringsted";62802;63605;64800;65202;64769;64407;63035;61318;59717;58082;56643;51190
" ";" ";" ";" ";" ";"Slagelse";174437;175758;176933;179196;176572;176273;166161;160571;155616;152011;151744;134586
" ";" ";" ";" ";" ";"Stevns";59843;61424;62350;62901;61755;60341;58528;54935;52822;52024;51804;44988
" ";" ";" ";" ";" ";"Sorø";76128;76957;77859;79524;79167;73328;71609;67076;65724;64580;64389;56443
" ";" ";" ";" ";" ";"Lejre";66164;67023;67610;68207;66550;65219;63595;60943;58713;55975;55174;48681
" ";" ";" ";" ";" ";"Lolland";117711;118005;118821;115015;110946;107022;101051;97233;92764;88603;84797;75691
" ";" ";" ";" ";" ";"Næstved";176599;177391;180844;183967;182561;179382;175377;169619;161932;158045;157327;138385
" ";" ";" ";" ";" ";"Guldborgsund";134450;134440;137957;135830;132158;130385;120288;117547;113038;108320;105169;94921
" ";" ";" ";" ";" ";"Vordingborg";112775;114385;116727;117005;115153;112745;106973;102332;97136;95634;92908;82771
" ";" ";" ";" ";" ";"Bornholm";108714;105987;105666;102139;100530;94037;88962;85354;83414;80438;77890;69714
" ";" ";" ";" ";" ";"Middelfart";85828;86431;87181;88400;87148;88413;84133;77702;73128;71569;73697;64758
" ";" ";" ";" ";" ";"Assens";106277;106806;107151;107531;105461;99886;98651;95536;93346;91298;88172;77560
" ";" ";" ";" ";" ";"Faaborg-Midtfyn";145326;146011;145983;147799;144943;140924;135729;129557;124536;121999;119974;105446
" ";" ";" ";" ";" ";"Kerteminde";47135;46932;47365;47945;47144;46376;45975;44434;43607;42232;41876;37537
" ";" ";" ";" ";" ";"Nyborg";65728;64980;65953;66885;66315;64120;62776;59866;57290;55654;55075;48864
" ";" ";" ";" ";" ";"Odense";186204;177257;185462;188074;195277;189789;191279;187802;175974;167679;159002;152957
" ";" ";" ";" ";" ";"Svendborg";149793;150140;149992;153392;151060;150283;142905;136494;132888;129955;125684;109938
" ";" ";" ";" ";" ";"Nordfyns";78559;79752;79578;80191;78630;76604;73898;70738;68682;67903;66643;58506
" ";" ";" ";" ";" ";"Langeland";32955;33101;33007;31646;30543;29736;29103;27426;26150;24872;24547;23368
" ";" ";" ";" ";" ";"Ærø";16703;16386;16337;15465;14950;14054;12967;12596;12183;11801;11679;11029
" ";" ";" ";" ";" ";"Haderslev";132366;132868;133781;136801;133748;134715;128544;122928;117060;112166;112122;99055
" ";" ";" ";" ";" ";"Billund";48736;47916;48997;49137;49615;48007;44845;43011;41631;39598;37917;34946
" ";" ";" ";" ";" ";"Sønderborg";166974;165430;167375;171094;168643;164511;158866;149813;143921;139395;137483;121826
" ";" ";" ";" ";" ";"Tønder";94107;94688;94186;94584;92678;91359;86236;81630;78352;75358;73338;66321
" ";" ";" ";" ";" ";"Esbjerg";171831;167769;174835;177239;179892;169558;166122;164550;157497;151762;146125;136348
" ";" ";" ";" ";" ";"Fanø";4896;4832;4939;4870;4857;4562;4296;4390;4336;4209;4082;4096
" ";" ";" ";" ";" ";"Varde";110922;111632;114498;114889;112249;108269;102953;97964;95810;91451;89154;80325
" ";" ";" ";" ";" ";"Vejen";103118;103789;105499;106999;105601;102668;100107;95160;91288;88803;87245;76880
" ";" ";" ";" ";" ";"Aabenraa";129959;129532;131836;133877;131102;129204;122094;115515;110924;107632;105377;94878
" ";" ";" ";" ";" ";"Fredericia";66068;64149;65853;65518;67457;68041;66931;65406;62711;58488;54212;51239
" ";" ";" ";" ";" ";"Horsens";172254;173184;175836;180844;179083;174699;169793;163388;156209;153333;152226;134851
" ";" ";" ";" ";" ";"Kolding";156744;155728;160159;162096;159437;154015;151558;146948;136075;131646;131064;119070
" ";" ";" ";" ";" ";"Vejle";214778;215095;219877;222113;222101;215046;208198;198233;190132;184439;177832;160252
" ";" ";" ";" ";" ";"Herning";134879;132557;138281;138021;134949;134379;130103;127511;122155;115490;107568;100160
" ";" ";" ";" ";" ";"Holstebro";91779;89916;93231;93467;92260;90125;88050;86730;83609;79288;75472;70693
" ";" ";" ";" ";" ";"Lemvig";51047;50955;51922;51232;47321;45838;44345;42326;40165;38356;37114;34395
" ";" ";" ";" ";" ";"Struer";46032;45308;46223;45572;43552;42223;40860;39756;38505;36698;34849;31416
" ";" ";" ";" ";" ";"Syddjurs";88610;88064;89950;89285;88172;86115;81601;79567;76513;72680;68114;63281
" ";" ";" ";" ";" ";"Norddjurs";81425;80974;81639;79091;75891;73397;73208;69261;66833;63381;60410;56079
" ";" ";" ";" ";" ";"Favrskov";87818;88035;90371;91345;90068;89182;88231;84172;82016;79626;74977;68070
" ";" ";" ";" ";" ";"Odder";36846;35627;36575;36428;36234;37365;37146;36225;35168;33491;31971;29360
" ";" ";" ";" ";" ";"Randers";167401;166606;171087;172825;170872;166910;166587;161159;156513;149619;145758;131880
" ";" ";" ";" ";" ";"Silkeborg";183593;184074;187839;191607;185475;174891;176849;167936;161546;157876;153044;136726
" ";" ";" ";" ";" ";"Samsø";13166;13472;13058;12423;11720;11174;10267;9658;8977;8507;8225;7901
" ";" ";" ";" ";" ";"Skanderborg";96090;96004;99731;101284;98899;101706;94089;94196;89078;84668;81809;74775
" ";" ";" ";" ";" ";"Aarhus";313399;304821;321323;325967;337927;324199;318637;318962;300961;287174;277615;266358
" ";" ";" ";" ";" ";"Ikast-Brande";75008;72708;75411;76284;74796;73416;68973;67685;65058;61712;59675;53171
" ";" ";" ";" ";" ";"Ringkøbing-Skjern";121167;121962;125433;124915;120930;120142;114567;109388;106001;102168;97122;88515
" ";" ";" ";" ";" ";"Hedensted";113050;114669;116062;117868;117917;116249;111615;107317;104891;102506;99847;87923
" ";" ";" ";" ";" ";"Morsø";62274;62333;62320;62580;61076;58302;58627;55126;53096;51588;50684;44455
" ";" ";" ";" ";" ";"Skive";125609;126566;127600;128238;125868;121604;116053;109566;104611;100870;99853;88308
" ";" ";" ";" ";" ";"Thisted";108243;104749;106153;104958;100948;98516;94983;91188;86330;79970;79226;72598
" ";" ";" ";" ";" ";"Viborg";197582;198949;204399;207229;202076;198143;190444;183139;169486;168232;162867;145607
" ";" ";" ";" ";" ";"Brønderslev";67825;67454;69430;69130;68540;66762;64710;62918;60290;57443;54515;49538
" ";" ";" ";" ";" ";"Frederikshavn";119891;119269;121157;121423;120719;120979;115684;110254;105638;100363;98373;89834
" ";" ";" ";" ";" ";"Vesthimmerlands";85956;86299;87519;86752;84779;81479;80439;76475;72070;69106;65727;59257
" ";" ";" ";" ";" ";"Læsø";6222;6282;6346;6120;5954;5730;5478;5141;4785;4575;4496;4482
" ";" ";" ";" ";" ";"Rebild";62963;63605;65922;65205;63587;62019;60100;56956;54730;52569;49863;44218
" ";" ";" ";" ";" ";"Mariagerfjord";97047;98011;99538;99748;97231;94731;91836;87551;84485;81873;79374;71492
" ";" ";" ";" ";" ";"Jammerbugt";90090;91036;91837;91591;94025;91626;89112;84375;79572;76232;73332;66617
" ";" ";" ";" ";" ";"Aalborg";260760;255064;264836;265939;264084;261090;262790;252578;243289;230053;222111;210342
" ";" ";" ";" ";" ";"Hjørring";139192;138701;141270;140020;130684;126552;125720;121421;113323;107966;103613;95229
" ";" ";" ";" ";"Landbrug, skovbrug og fiskeri"
" ";" ";" ";" ";" ";"København";10072;7727;9163;9325;8054;9719;9300;19719;11393;7796;8699;8003
" ";" ";" ";" ";" ";"Frederiksberg";1234;1409;1023;632;782;829;982;481;196;221;217;217
" ";" ";" ";" ";" ";"Ballerup";2485;2072;1520;1348;1226;1135;1471;1400;1668;1595;1621;1630
" ";" ";" ";" ";" ";"Brøndby";789;1026;829;428;395;319;344;511;468;404;449;351
" ";" ";" ";" ";" ";"Dragør";1226;1469;1191;1025;985;1012;942;932;843;727;826;759
" ";" ";" ";" ";" ";"Gentofte";2970;5266;4681;4391;4670;4457;4077;3170;5126;4732;4938;4792
" ";" ";" ";" ";" ";"Gladsaxe";2338;2739;1997;1957;3057;4045;3270;6686;8007;3548;8333;8187
" ";" ";" ";" ";" ";"Glostrup";2465;2667;2196;1589;1139;1002;1162;1277;1369;1102;1080;1101
" ";" ";" ";" ";" ";"Herlev";1223;1618;1418;1223;1067;1045;928;504;547;432;409;367
" ";" ";" ";" ";" ";"Albertslund";518;518;358;320;289;668;620;1281;1090;943;979;984
" ";" ";" ";" ";" ";"Hvidovre";2291;6029;5027;4466;2792;2606;2525;2338;3134;3311;3344;3344
" ";" ";" ";" ";" ";"Høje-Taastrup";11075;13488;12417;10242;10343;11550;11130;13153;13551;10884;14936;14637
" ";" ";" ";" ";" ";"Lyngby-Taarbæk";3410;3770;3799;4344;2598;2983;3412;4275;3103;2287;988;885
" ";" ";" ";" ";" ";"Rødovre";1257;1854;1069;799;912;990;988;451;442;354;359;330
" ";" ";" ";" ";" ";"Ishøj";3790;3771;3746;3937;4539;4361;3832;2810;2679;2746;3000;2975
" ";" ";" ";" ";" ";"Tårnby";1129;1317;1120;975;805;863;1627;1005;1074;1033;1104;973
" ";" ";" ";" ";" ";"Vallensbæk";1008;1208;1057;950;843;923;1079;296;421;433;443;381
" ";" ";" ";" ";" ";"Furesø";4399;5816;4664;3867;3412;4365;4292;3624;3269;2895;3182;3134
" ";" ";" ";" ";" ";"Allerød";6455;7098;6898;6011;5087;5804;5123;5102;6049;5512;5907;5728
" ";" ";" ";" ";" ";"Fredensborg";8922;11249;9855;8375;7006;7742;6919;6656;6601;5874;6305;6190
" ";" ";" ";" ";" ";"Helsingør";3929;4845;4079;2888;2959;3414;3354;5489;3875;3774;4034;3756
" ";" ";" ";" ";" ";"Hillerød";10793;11874;9768;9053;8437;8348;8850;8883;9061;7896;8472;8286
" ";" ";" ";" ";" ";"Hørsholm";1560;1865;1653;1502;1365;1487;1299;1428;1452;866;992;1025
" ";" ";" ";" ";" ";"Rudersdal";8010;7716;5655;4960;4626;5092;5023;5618;5623;4738;4600;4260
" ";" ";" ";" ";" ";"Egedal";9328;10178;10176;8981;7417;7958;7029;7233;7292;7230;7983;7866
" ";" ";" ";" ";" ";"Frederikssund";14882;16115;13420;13653;13789;14199;14242;13043;13023;13775;14984;14523
" ";" ";" ";" ";" ";"Greve";8590;12048;12213;10673;10442;9367;8880;8289;9731;9335;10284;10211
" ";" ";" ";" ";" ";"Køge";24166;30658;28145;20509;17414;18609;16092;16272;15973;14486;15498;15137
" ";" ";" ";" ";" ";"Halsnæs";4128;4895;4614;4321;3820;3994;3942;3642;3740;3314;3492;3481
" ";" ";" ";" ";" ";"Roskilde";12346;13032;11993;11841;12057;12254;13123;11972;12573;15799;11581;11327
" ";" ";" ";" ";" ";"Solrød";4201;5216;5422;2969;2576;2739;2530;2508;3036;2290;2458;2355
" ";" ";" ";" ";" ";"Gribskov";11943;13660;13645;13195;12816;13182;13415;13537;12656;11729;12531;11236
" ";" ";" ";" ";" ";"Odsherred";16570;17527;16266;23659;25818;18239;17029;18097;16188;17079;18385;17541
" ";" ";" ";" ";" ";"Holbæk";22673;25373;23629;25179;25064;25127;25111;26703;29909;24203;25263;25171
" ";" ";" ";" ";" ";"Faxe";12285;13319;12866;13406;13269;13765;13224;15269;16138;14180;14864;14722
" ";" ";" ";" ";" ";"Kalundborg";92685;65547;58126;63631;61332;31325;28708;29267;30253;27641;29272;27324
" ";" ";" ";" ";" ";"Ringsted";13102;14423;13900;14010;12973;14124;13361;12210;9398;12210;12978;12958
" ";" ";" ";" ";" ";"Slagelse";26540;31716;30681;31033;25697;27117;26340;27491;27777;27106;28698;27727
" ";" ";" ";" ";" ";"Stevns";23311;24942;21958;19196;17592;18604;20041;17565;18675;14726;15846;15047
" ";" ";" ";" ";" ";"Sorø";13352;15843;12951;12288;12355;12202;12543;12674;13699;12185;12832;13015
" ";" ";" ";" ";" ";"Lejre";7790;8347;8198;8541;8397;8679;8287;8788;12068;8855;9203;9241
" ";" ";" ";" ";" ";"Lolland";28777;30799;29596;30536;30185;31007;30633;33555;37427;31293;32619;31651
" ";" ";" ";" ";" ";"Næstved";30413;32263;31750;31898;28849;29914;29346;28018;33930;29792;31383;30842
" ";" ";" ";" ";" ";"Guldborgsund";32033;36486;34974;35873;36068;39337;35754;35676;35308;33321;34884;34347
" ";" ";" ";" ";" ";"Vordingborg";40076;31524;27521;26725;24075;24734;26494;27225;27923;24094;25559;24440
" ";" ";" ";" ";" ";"Bornholm";37768;38989;37586;37462;35373;37129;36043;33144;34539;35818;37919;34398
" ";" ";" ";" ";" ";"Middelfart";19395;21229;19220;18315;18871;19055;18248;21171;24247;21277;23017;19371
" ";" ";" ";" ";" ";"Assens";30412;32613;30427;30656;28672;31557;30382;30863;37404;28943;31094;30374
" ";" ";" ";" ";" ";"Faaborg-Midtfyn";65447;71560;65976;56973;55153;57644;56080;52641;51017;44087;47765;45855
" ";" ";" ";" ";" ";"Kerteminde";28629;28816;26765;27427;22700;23015;22655;22122;22278;19146;21001;20277
" ";" ";" ";" ";" ";"Nyborg";16835;17510;16701;16658;16468;17275;17257;18075;16485;15609;16513;16169
" ";" ";" ";" ";" ";"Odense";113256;124463;110684;94722;86081;89510;90405;85874;82651;72065;80765;79876
" ";" ";" ";" ";" ";"Svendborg";22988;24202;23414;22616;22574;22603;21981;22318;21038;21965;23202;22140
" ";" ";" ";" ";" ";"Nordfyns";47153;56113;54775;49966;45976;54007;48459;44993;42885;41087;44663;43975
" ";" ";" ";" ";" ";"Langeland";12150;12598;12900;13157;12387;13328;13803;12922;14392;15485;16299;14450
" ";" ";" ";" ";" ";"Ærø";4529;4970;4480;4716;4276;4761;4884;4982;4242;4610;4846;4676
" ";" ";" ";" ";" ";"Haderslev";37405;43239;40397;39965;40081;39394;37309;37649;37307;42416;44553;44099
" ";" ";" ";" ";" ";"Billund";24243;43168;27199;23447;24217;21595;20833;20230;21928;22631;24217;22237
" ";" ";" ";" ";" ";"Sønderborg";31693;33618;32537;34092;32769;34259;32447;34260;39483;31909;33556;33347
" ";" ";" ";" ";" ";"Tønder";47083;49202;41318;43588;42823;42381;41860;35005;36460;34650;36276;35868
